




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	Reactome version 58 Released 2016-12-07
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Reactome pathways	Mus musculus - REFLIST (22262)	upload_1 (2942)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
HDR through Single Strand Annealing (SSA) (R-MMU-5685938)	37	14	4.89	+	2.86	1.64E-03	7.92E-03
L1CAM interactions (R-MMU-373760)	67	25	8.85	+	2.82	4.78E-05	3.01E-04
mRNA Splicing - Minor Pathway (R-MMU-72165)	51	19	6.74	+	2.82	4.77E-04	2.58E-03
C-type lectin receptors (CLRs) (R-MMU-5621481)	113	42	14.93	+	2.81	1.16E-07	1.21E-06
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template (R-MMU-110313)	35	13	4.63	+	2.81	2.71E-03	1.22E-02
AURKA Activation by TPX2 (R-MMU-8854518)	70	26	9.25	+	2.81	3.44E-05	2.24E-04
Purine metabolism (R-MMU-73847)	35	13	4.63	+	2.81	2.71E-03	1.22E-02
Negative regulation of MAPK pathway (R-MMU-5675221)	35	13	4.63	+	2.81	2.71E-03	1.21E-02
Fatty Acyl-CoA Biosynthesis (R-MMU-75105)	46	17	6.08	+	2.80	1.08E-03	5.47E-03
Intrinsic Pathway for Apoptosis (R-MMU-109606)	30	11	3.96	+	2.77	6.07E-03	2.35E-02
G2/M DNA damage checkpoint (R-MMU-69473)	63	23	8.33	+	2.76	1.20E-04	7.24E-04
Metabolism of amino acids and derivatives (R-MMU-71291)	217	79	28.68	+	2.75	9.24E-13	2.80E-11
DNA Damage Bypass (R-MMU-73893)	44	16	5.81	+	2.75	1.69E-03	8.08E-03
Nuclear Pore Complex (NPC) Disassembly (R-MMU-3301854)	33	12	4.36	+	2.75	4.47E-03	1.88E-02
RHO GTPases Activate WASPs and WAVEs (R-MMU-5663213)	33	12	4.36	+	2.75	4.47E-03	1.88E-02
N-glycan antennae elongation in the medial/trans-Golgi (R-MMU-975576)	25	9	3.30	+	2.72	1.37E-02	4.81E-02
Apoptotic execution  phase (R-MMU-75153)	42	15	5.55	+	2.70	2.65E-03	1.20E-02
NCAM1 interactions (R-MMU-419037)	28	10	3.70	+	2.70	1.01E-02	3.71E-02
Epigenetic regulation of gene expression (R-MMU-212165)	87	31	11.50	+	2.70	1.02E-05	7.46E-05
Signaling by ERBB2 (R-MMU-1227986)	37	13	4.89	+	2.66	6.00E-03	2.33E-02
Non-integrin membrane-ECM interactions (R-MMU-3000171)	43	15	5.68	+	2.64	2.93E-03	1.28E-02
TCR signaling (R-MMU-202403)	109	38	14.40	+	2.64	1.80E-06	1.44E-05
Triglyceride Biosynthesis (R-MMU-75109)	66	23	8.72	+	2.64	1.87E-04	1.09E-03
Glucose metabolism (R-MMU-70326)	69	24	9.12	+	2.63	1.37E-04	8.24E-04
Antigen processing-Cross presentation (R-MMU-1236975)	95	33	12.55	+	2.63	1.01E-05	7.43E-05
Hedgehog 'on' state (R-MMU-5632684)	113	39	14.93	+	2.61	1.54E-06	1.26E-05
Translocation of GLUT4 to the plasma membrane (R-MMU-1445148)	67	23	8.85	+	2.60	2.18E-04	1.27E-03
Loss of proteins required for interphase microtubule organization from the centrosome (R-MMU-380284)	67	23	8.85	+	2.60	2.18E-04	1.26E-03
Loss of Nlp from mitotic centrosomes (R-MMU-380259)	67	23	8.85	+	2.60	2.18E-04	1.26E-03
TNFR2 non-canonical NF-kB pathway (R-MMU-5668541)	95	32	12.55	+	2.55	2.03E-05	1.37E-04
Metabolism of nucleotides (R-MMU-15869)	94	31	12.42	+	2.50	3.65E-05	2.37E-04
Fcgamma receptor (FCGR) dependent phagocytosis (R-MMU-2029480)	61	20	8.06	+	2.48	1.33E-03	6.52E-03
Regulation of actin dynamics for phagocytic cup formation (R-MMU-2029482)	52	17	6.87	+	2.47	2.22E-03	1.02E-02
TCF dependent signaling in response to WNT (R-MMU-201681)	147	48	19.43	+	2.47	4.40E-07	3.81E-06
Senescence-Associated Secretory Phenotype (SASP) (R-MMU-2559582)	43	14	5.68	+	2.46	5.85E-03	2.28E-02
PLC beta mediated events (R-MMU-112043)	37	12	4.89	+	2.45	1.15E-02	4.15E-02
Signaling by NOTCH (R-MMU-157118)	53	17	7.00	+	2.43	2.56E-03	1.17E-02
Fatty acid, triacylglycerol, and ketone body metabolism (R-MMU-535734)	128	41	16.92	+	2.42	5.13E-06	3.94E-05
Centrosome maturation (R-MMU-380287)	75	24	9.91	+	2.42	4.19E-04	2.28E-03
Recruitment of mitotic centrosome proteins and complexes (R-MMU-380270)	75	24	9.91	+	2.42	4.19E-04	2.27E-03
Oxidative Stress Induced Senescence (R-MMU-2559580)	47	15	6.21	+	2.41	4.82E-03	1.95E-02
DNA Double-Strand Break Repair (R-MMU-5693532)	117	37	15.46	+	2.39	2.09E-05	1.41E-04
G-protein mediated events (R-MMU-112040)	38	12	5.02	+	2.39	1.29E-02	4.60E-02
Signaling by PTK6 (R-MMU-8848021)	57	18	7.53	+	2.39	3.06E-03	1.34E-02
Apoptosis (R-MMU-109581)	86	27	11.37	+	2.38	3.03E-04	1.70E-03
Programmed Cell Death (R-MMU-5357801)	93	29	12.29	+	2.36	1.70E-04	1.00E-03
Downstream signaling events of B Cell Receptor (BCR) (R-MMU-1168372)	172	53	22.73	+	2.33	5.50E-07	4.62E-06
MHC class II antigen presentation (R-MMU-2132295)	91	28	12.03	+	2.33	2.58E-04	1.46E-03
Clathrin-mediated endocytosis (R-MMU-8856828)	111	34	14.67	+	2.32	6.93E-05	4.26E-04
TP53 Regulates Metabolic Genes (R-MMU-5628897)	46	14	6.08	+	2.30	1.33E-02	4.67E-02
Lipoprotein metabolism (R-MMU-174824)	56	17	7.40	+	2.30	5.05E-03	2.02E-02
MAPK family signaling cascades (R-MMU-5683057)	234	71	30.92	+	2.30	9.08E-09	1.42E-07
NCAM signaling for neurite out-growth (R-MMU-375165)	234	71	30.92	+	2.30	9.08E-09	1.40E-07
Intra-Golgi and retrograde Golgi-to-ER traffic (R-MMU-6811442)	139	42	18.37	+	2.29	1.17E-05	8.25E-05
Signaling by Hedgehog (R-MMU-5358351)	153	46	20.22	+	2.28	6.04E-06	4.59E-05
ARMS-mediated activation (R-MMU-170984)	210	63	27.75	+	2.27	1.06E-07	1.17E-06
MAPK1/MAPK3 signaling (R-MMU-5684996)	210	63	27.75	+	2.27	1.06E-07	1.16E-06
Metabolism of proteins (R-MMU-392499)	942	282	124.49	+	2.27	1.44E-30	3.62E-28
VEGFR2 mediated cell proliferation (R-MMU-5218921)	214	64	28.28	+	2.26	8.43E-08	9.73E-07
Signaling by Wnt (R-MMU-195721)	218	65	28.81	+	2.26	6.83E-08	8.01E-07
Signaling by Insulin receptor (R-MMU-74752)	282	84	37.27	+	2.25	1.05E-09	2.16E-08
GRB2 events in EGFR signaling (R-MMU-179812)	205	61	27.09	+	2.25	2.15E-07	2.07E-06
Signalling to p38 via RIT and RIN (R-MMU-187706)	205	61	27.09	+	2.25	2.15E-07	2.06E-06
SHC1 events in EGFR signaling (R-MMU-180336)	205	61	27.09	+	2.25	2.15E-07	2.04E-06
SHC1 events in ERBB4 signaling (R-MMU-1250347)	205	61	27.09	+	2.25	2.15E-07	2.03E-06
SOS-mediated signalling (R-MMU-112412)	205	61	27.09	+	2.25	2.15E-07	2.02E-06
RAF/MAP kinase cascade (R-MMU-5673001)	205	61	27.09	+	2.25	2.15E-07	2.01E-06
FRS-mediated FGFR4 signaling (R-MMU-5654712)	206	61	27.22	+	2.24	2.32E-07	2.14E-06
FRS-mediated FGFR3 signaling (R-MMU-5654706)	206	61	27.22	+	2.24	2.32E-07	2.13E-06
FRS-mediated FGFR2 signaling (R-MMU-5654700)	206	61	27.22	+	2.24	2.32E-07	2.11E-06
FRS-mediated FGFR1 signaling (R-MMU-5654693)	206	61	27.22	+	2.24	2.32E-07	2.10E-06
Prolonged ERK activation events (R-MMU-169893)	213	63	28.15	+	2.24	1.38E-07	1.42E-06
Interleukin receptor SHC signaling (R-MMU-912526)	213	63	28.15	+	2.24	1.38E-07	1.41E-06
Signalling to RAS (R-MMU-167044)	210	62	27.75	+	2.23	1.87E-07	1.84E-06
Interleukin-3, 5 and GM-CSF signaling (R-MMU-512988)	224	66	29.60	+	2.23	9.25E-08	1.04E-06
Golgi Associated Vesicle Biogenesis (R-MMU-432722)	51	15	6.74	+	2.23	1.07E-02	3.88E-02
Signalling to ERKs (R-MMU-187687)	218	64	28.81	+	2.22	1.74E-07	1.74E-06
EPH-Ephrin signaling (R-MMU-2682334)	75	22	9.91	+	2.22	2.13E-03	9.93E-03
Transport to the Golgi and subsequent modification (R-MMU-948021)	147	43	19.43	+	2.21	1.91E-05	1.30E-04
Signaling by Leptin (R-MMU-2586552)	212	62	28.02	+	2.21	3.29E-07	2.93E-06
Opioid Signalling (R-MMU-111885)	55	16	7.27	+	2.20	8.43E-03	3.20E-02
VEGFA-VEGFR2 Pathway (R-MMU-4420097)	282	82	37.27	+	2.20	4.68E-09	8.04E-08
Frs2-mediated activation (R-MMU-170968)	210	61	27.75	+	2.20	4.76E-07	4.07E-06
Global Genome Nucleotide Excision Repair (GG-NER) (R-MMU-5696399)	69	20	9.12	+	2.19	4.09E-03	1.74E-02
Cellular responses to stress (R-MMU-2262752)	276	80	36.47	+	2.19	5.98E-09	9.62E-08
Intraflagellar transport (R-MMU-5620924)	52	15	6.87	+	2.18	1.17E-02	4.20E-02
FCERI mediated MAPK activation (R-MMU-2871796)	229	66	30.26	+	2.18	2.02E-07	1.98E-06
Gene Expression (R-MMU-74160)	1070	308	141.40	+	2.18	7.56E-31	2.29E-28
IRS-mediated signalling (R-MMU-112399)	254	73	33.57	+	2.17	4.57E-08	5.96E-07
Factors involved in megakaryocyte development and platelet production (R-MMU-983231)	94	27	12.42	+	2.17	8.85E-04	4.53E-03
Membrane Trafficking (R-MMU-199991)	440	126	58.15	+	2.17	5.95E-13	1.84E-11
Interleukin-2 signaling (R-MMU-451927)	220	63	29.07	+	2.17	3.51E-07	3.09E-06
Regulation of TP53 Activity through Phosphorylation (R-MMU-6804756)	91	26	12.03	+	2.16	1.22E-03	6.06E-03
RET signaling (R-MMU-8853659)	224	64	29.60	+	2.16	3.99E-07	3.49E-06
COPI-mediated anterograde transport (R-MMU-6807878)	70	20	9.25	+	2.16	4.38E-03	1.85E-02
Vesicle-mediated transport (R-MMU-5653656)	470	134	62.11	+	2.16	1.75E-13	5.62E-12
Antigen processing: Ubiquitination & Proteasome degradation (R-MMU-983168)	151	43	19.96	+	2.15	3.94E-05	2.53E-04
Signaling by VEGF (R-MMU-194138)	289	82	38.19	+	2.15	1.11E-08	1.66E-07
Insulin receptor signalling cascade (R-MMU-74751)	258	73	34.10	+	2.14	6.28E-08	7.92E-07
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) (R-MMU-2404192)	258	73	34.10	+	2.14	6.28E-08	7.85E-07
IRS-related events triggered by IGF1R (R-MMU-2428928)	258	73	34.10	+	2.14	6.28E-08	7.79E-07
IGF1R signaling cascade (R-MMU-2428924)	258	73	34.10	+	2.14	6.28E-08	7.73E-07
Activated TLR4 signalling (R-MMU-166054)	78	22	10.31	+	2.13	2.77E-03	1.24E-02
Toll Like Receptor 2 (TLR2) Cascade (R-MMU-181438)	71	20	9.38	+	2.13	4.73E-03	1.95E-02
MyD88:Mal cascade initiated on plasma membrane (R-MMU-166058)	71	20	9.38	+	2.13	4.73E-03	1.95E-02
MyD88 cascade initiated on plasma membrane (R-MMU-975871)	71	20	9.38	+	2.13	4.73E-03	1.94E-02
Toll Like Receptor TLR6:TLR2 Cascade (R-MMU-168188)	71	20	9.38	+	2.13	4.73E-03	1.93E-02
Toll Like Receptor TLR1:TLR2 Cascade (R-MMU-168179)	71	20	9.38	+	2.13	4.73E-03	1.93E-02
Toll Like Receptor 5 (TLR5) Cascade (R-MMU-168176)	71	20	9.38	+	2.13	4.73E-03	1.92E-02
Toll Like Receptor 10 (TLR10) Cascade (R-MMU-168142)	71	20	9.38	+	2.13	4.73E-03	1.92E-02
Glycerophospholipid biosynthesis (R-MMU-1483206)	100	28	13.22	+	2.12	1.24E-03	6.13E-03
mRNA Splicing - Major Pathway (R-MMU-72163)	168	47	22.20	+	2.12	2.35E-05	1.57E-04
SUMOylation (R-MMU-2990846)	93	26	12.29	+	2.12	1.41E-03	6.88E-03
NGF signalling via TRKA from the plasma membrane (R-MMU-187037)	309	86	40.84	+	2.11	8.36E-09	1.32E-07
Axon guidance (R-MMU-422475)	435	121	57.49	+	2.10	7.91E-12	2.18E-10
Ub-specific processing proteases (R-MMU-5689880)	162	45	21.41	+	2.10	4.39E-05	2.80E-04
Signaling by FGFR4 (R-MMU-5654743)	281	78	37.14	+	2.10	4.83E-08	6.25E-07
Downstream signaling of activated FGFR4 (R-MMU-5654716)	278	77	36.74	+	2.10	6.50E-08	7.93E-07
Downstream signaling of activated FGFR3 (R-MMU-5654708)	278	77	36.74	+	2.10	6.50E-08	7.87E-07
Downstream signaling of activated FGFR2 (R-MMU-5654696)	278	77	36.74	+	2.10	6.50E-08	7.81E-07
Signaling by EGFR (R-MMU-177929)	300	83	39.65	+	2.09	2.02E-08	2.86E-07
Signaling by FGFR3 (R-MMU-5654741)	282	78	37.27	+	2.09	5.22E-08	6.70E-07
Cellular response to heat stress (R-MMU-3371556)	76	21	10.04	+	2.09	6.14E-03	2.37E-02
Signaling by the B Cell Receptor (BCR) (R-MMU-983705)	203	56	26.83	+	2.09	5.52E-06	4.22E-05
Downstream signaling of activated FGFR1 (R-MMU-5654687)	281	77	37.14	+	2.07	1.16E-07	1.22E-06
Signaling by FGFR1 (R-MMU-5654736)	286	78	37.80	+	2.06	9.50E-08	1.06E-06
SUMO E3 ligases SUMOylate target proteins (R-MMU-3108232)	88	24	11.63	+	2.06	2.83E-03	1.26E-02
Activation of anterior HOX genes in hindbrain development during early embryogenesis (R-MMU-5617472)	81	22	10.70	+	2.06	4.91E-03	1.98E-02
Activation of HOX genes during differentiation (R-MMU-5619507)	81	22	10.70	+	2.06	4.91E-03	1.98E-02
Signaling by SCF-KIT (R-MMU-1433557)	278	75	36.74	+	2.04	2.45E-07	2.21E-06
Signaling by PDGF (R-MMU-186797)	316	85	41.76	+	2.04	4.22E-08	5.65E-07
Downstream signal transduction (R-MMU-186763)	290	78	38.32	+	2.04	1.75E-07	1.74E-06
Clathrin derived vesicle budding (R-MMU-421837)	67	18	8.85	+	2.03	1.04E-02	3.79E-02
trans-Golgi Network Vesicle Budding (R-MMU-199992)	67	18	8.85	+	2.03	1.04E-02	3.78E-02
Transcriptional Regulation by TP53 (R-MMU-3700989)	257	69	33.96	+	2.03	8.42E-07	7.00E-06
Rho GTPase cycle (R-MMU-194840)	123	33	16.25	+	2.03	6.32E-04	3.33E-03
DAP12 signaling (R-MMU-2424491)	295	79	38.99	+	2.03	1.45E-07	1.46E-06
mRNA Splicing (R-MMU-72172)	176	47	23.26	+	2.02	5.50E-05	3.40E-04
Asparagine N-linked glycosylation (R-MMU-446203)	251	67	33.17	+	2.02	1.52E-06	1.25E-05
Cellular Senescence (R-MMU-2559583)	105	28	13.88	+	2.02	1.68E-03	8.05E-03
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation (R-MMU-975138)	75	20	9.91	+	2.02	9.22E-03	3.45E-02
Signaling by FGFR2 (R-MMU-5654738)	308	82	40.70	+	2.01	1.08E-07	1.16E-06
ER to Golgi Anterograde Transport (R-MMU-199977)	117	31	15.46	+	2.00	1.15E-03	5.74E-03
Metabolism (R-MMU-1430728)	1714	454	226.51	+	2.00	1.66E-38	6.29E-36
Toll Like Receptor 4 (TLR4) Cascade (R-MMU-166016)	91	24	12.03	+	2.00	4.98E-03	1.99E-02
Integrin cell surface interactions (R-MMU-216083)	76	20	10.04	+	1.99	9.72E-03	3.62E-02
Signalling by NGF (R-MMU-166520)	392	103	51.80	+	1.99	4.40E-09	7.84E-08
Class I MHC mediated antigen processing & presentation (R-MMU-983169)	214	56	28.28	+	1.98	2.17E-05	1.45E-04
Fc epsilon receptor (FCERI) signaling (R-MMU-2454202)	310	81	40.97	+	1.98	2.69E-07	2.41E-06
Signaling by FGFR (R-MMU-190236)	314	82	41.50	+	1.98	2.12E-07	2.07E-06
DAP12 interactions (R-MMU-2172127)	303	79	40.04	+	1.97	4.66E-07	4.01E-06
MyD88-independent TLR3/TLR4 cascade  (R-MMU-166166)	73	19	9.65	+	1.97	1.33E-02	4.69E-02
Toll Like Receptor 3 (TLR3) Cascade (R-MMU-168164)	73	19	9.65	+	1.97	1.33E-02	4.68E-02
Cargo recognition for clathrin-mediated endocytosis (R-MMU-8856825)	77	20	10.18	+	1.97	1.03E-02	3.79E-02
Toll Like Receptor 7/8 (TLR7/8) Cascade (R-MMU-168181)	77	20	10.18	+	1.97	1.03E-02	3.78E-02
MyD88 dependent cascade initiated on endosome (R-MMU-975155)	77	20	10.18	+	1.97	1.03E-02	3.77E-02
Regulation of TP53 Activity (R-MMU-5633007)	143	37	18.90	+	1.96	6.21E-04	3.28E-03
Mus musculus biological processes (R-MMU-5334727)	182	47	24.05	+	1.95	1.09E-04	6.62E-04
Anchoring of the basal body to the plasma membrane (R-MMU-5620912)	93	24	12.29	+	1.95	5.53E-03	2.17E-02
Signaling by ERBB4 (R-MMU-1236394)	306	77	40.44	+	1.90	1.74E-06	1.41E-05
Assembly of the primary cilium (R-MMU-5617833)	175	44	23.13	+	1.90	2.88E-04	1.62E-03
Metabolism of carbohydrates (R-MMU-71387)	259	65	34.23	+	1.90	1.12E-05	8.13E-05
Processing of Capped Intron-Containing Pre-mRNA (R-MMU-72203)	224	56	29.60	+	1.89	4.94E-05	3.10E-04
Deubiquitination (R-MMU-5688426)	226	56	29.87	+	1.87	7.51E-05	4.60E-04
Integration of energy metabolism (R-MMU-163685)	97	24	12.82	+	1.87	9.70E-03	3.62E-02
Collagen formation (R-MMU-1474290)	89	22	11.76	+	1.87	1.13E-02	4.07E-02
Developmental Biology (R-MMU-1266738)	644	159	85.11	+	1.87	1.35E-11	3.53E-10
DNA Repair (R-MMU-73894)	245	60	32.38	+	1.85	4.65E-05	2.96E-04
Response to elevated platelet cytosolic Ca2+ (R-MMU-76005)	135	33	17.84	+	1.85	2.42E-03	1.11E-02
Metabolism of lipids and lipoproteins (R-MMU-556833)	626	151	82.73	+	1.83	2.08E-10	4.56E-09
Post-translational protein modification (R-MMU-597592)	668	161	88.28	+	1.82	5.77E-11	1.41E-09
Hemostasis (R-MMU-109582)	480	115	63.43	+	1.81	4.42E-08	5.81E-07
Nucleotide Excision Repair (R-MMU-5696398)	96	23	12.69	+	1.81	1.41E-02	4.94E-02
Platelet degranulation  (R-MMU-114608)	130	31	17.18	+	1.80	4.44E-03	1.87E-02
Phospholipid metabolism (R-MMU-1483257)	156	37	20.62	+	1.79	2.21E-03	1.02E-02
Platelet activation, signaling and aggregation (R-MMU-76002)	255	59	33.70	+	1.75	2.56E-04	1.46E-03
Transmembrane transport of small molecules (R-MMU-382551)	601	139	79.42	+	1.75	1.34E-08	1.99E-07
Signaling by Interleukins (R-MMU-449147)	358	82	47.31	+	1.73	1.72E-05	1.19E-04
Transmission across Chemical Synapses (R-MMU-112315)	194	43	25.64	+	1.68	3.07E-03	1.34E-02
Innate Immune System (R-MMU-168249)	623	138	82.33	+	1.68	1.13E-07	1.20E-06
Generic Transcription Pathway (R-MMU-212436)	391	86	51.67	+	1.66	3.74E-05	2.42E-04
Extracellular matrix organization (R-MMU-1474244)	260	57	34.36	+	1.66	1.04E-03	5.30E-03
Muscle contraction (R-MMU-397014)	156	34	20.62	+	1.65	1.20E-02	4.29E-02
Adaptive Immune System (R-MMU-1280218)	581	125	76.78	+	1.63	1.75E-06	1.41E-05
Gastrin-CREB signalling pathway via PKC and MAPK (R-MMU-881907)	378	79	49.95	+	1.58	3.89E-04	2.15E-03
SLC-mediated transmembrane transport (R-MMU-425407)	254	52	33.57	+	1.55	5.32E-03	2.11E-02
Neuronal System (R-MMU-112316)	307	61	40.57	+	1.50	5.22E-03	2.07E-02
Cytokine Signaling in Immune system (R-MMU-1280215)	481	94	63.57	+	1.48	7.71E-04	3.97E-03
Immune System (R-MMU-168256)	1201	228	158.72	+	1.44	6.48E-07	5.41E-06
Signal Transduction (R-MMU-162582)	2377	399	314.13	+	1.27	4.66E-06	3.61E-05
Signaling by GPCR (R-MMU-372790)	1258	130	166.25	-	.78	5.17E-03	2.06E-02
Unclassified (UNCLASSIFIED)	14480	1333	1913.58	-	.70	8.34E-93	1.26E-89
GPCR ligand binding (R-MMU-500792)	381	30	50.35	-	.60	4.07E-03	1.73E-02
GPCR downstream signaling (R-MMU-388396)	1003	54	132.55	-	.41	9.11E-14	3.21E-12
Olfactory Signaling Pathway (R-MMU-381753)	501	0	66.21	-	 < 0.01	8.33E-28	9.70E-26
